nombre,nombre_ingles,nombre_regional,siglas,cuidad,codigo_postal
Real Escuela Superior de Arte Dramático ,Royal Higher College of Performing Arts,Real Escuela Superior de Arte Dramático ,RESAD,Madrid,28009
Real Conservatorio Superior de Música de Madrid,Royal Music Conservatoire of Madrid,Real Conservatorio Superior de Música de Madrid,,Madrid,28012
Universidad Católica de Valencia San Vicente Mártir ,Saint Vincent the Martyr Catholic University of Valencia,Universidad Católica de Valencia San Vicente Mártir ,UCV,Valencia,46001
Universidad Católica San Antonio de Murcia ,San Antonio Catholic University of Murcia,Universidad Católica San Antonio de Murcia ,UCAM,Guadalupe,30107
Universidad San Jorge,San Jorge University,Universidad San Jorge,,Villanueva de Gállego,50830
Escola Superior de Conservación e Restauración de Bens Culturais de Galicia,School of Conservation and Restoration of Cultural Heritage of Galicia,Escola Superior de Conservación e Restauración de Bens Culturais de Galicia,,Pontevedra,36002
Escuela Superior de Arte Dramático de Murcia ,School of Dramatic Art of Murcia,Escuela Superior de Arte Dramático de Murcia ,ESAD Murcia,Murcia,30001
Escuela Superior de Arte Dramático de Sevilla ,School of Dramatic Art of Seville,Escuela Superior de Arte Dramático de Sevilla ,ESAD Sevilla,Sevilla,41002
Escuela Superior de Arte Dramático de Valencia ,School of Dramatic Art of Valencia,Escuela Superior de Arte Dramático de Valencia ,ESADV,Valencia,46022
Institut del Teatre,Theatre Institute of Barcelona,Institut del Teatre,,Barcelona,08003
Universidad Politécnica de Cataluña ,Universitat Politècnica de Catalunya - Barcelona Tech,Universitat Politècnica de Catalunya - BarcelonaTech,UPC,Barcelona,08034
Universidad Isabel I,University Isabel 1,Universidad Isabel I,,Burgos,09003
Universidade da Coruña ,University of A Coruña,Universidade da Coruña ,UDC,A Coruña,15001
Universidad de Alcalá ,University of Alcalá,Universidad de Alcalá ,UAH,Alcalá de Henares,28801
Universitat d'Alacant ,University of Alicante,Universidad de Alicante,UAL,San Vicent del Raspeig,03690
Universidad de Almería ,University of Almería,Universidad de Almería ,UALM,La Cañada de San Urbano,04120
Universidad de Burgos ,University of Burgos,Universidad de Burgos ,UBU,Burgos,09001
Universidad de Cádiz ,University of Cádiz,Universidad de Cádiz ,UCA,Cádiz,11001
Universidad de Cantabria ,University of Cantabria,Universidad de Cantabria ,UC,Santander,39005
Universidad de Castilla-La Mancha ,University of Castilla-La Mancha,Universidad de Castilla-La Mancha ,UCLM,Ciudad Real,13071
Universidad de Córdoba ,University of Córdoba,Universidad de Córdoba ,UCO,Córdoba,14071
Universidad de Deusto ,University of Deusto,Universidad de Deusto ,UDE,Bilbao,48007
Universidad de Extremadura ,University of Extremadura,Universidad de Extremadura ,UEx,Badajoz,06006
Universidad de Gerona ,University of Girona,Universitat de Girona,UDG,Girona,17004
Universidad de Huelva ,University of Huelva,Universidad de Huelva ,UHU,Huelva,21071
Universidad de Jaén ,University of Jaén,Universidad de Jaén ,UJA,Jaén,23071
Universidad de La Laguna ,University of La Laguna,Universidad de La Laguna ,ULL,La Laguna,38200
Universidad de La Rioja ,University of La Rioja,Universidad de La Rioja ,URI,Logroño,26006
Universidad de Las Palmas de Gran Canaria ,University of Las Palmas de Gran Canaria,Universidad de Las Palmas de Gran Canaria ,UPGC,Las Palmas de Gran Canaria,35001
Universidad de León ,University of León,Universidad de León ,UNILEON,León,24071
Universidad de Lérida ,University of Lleida,Universitat de Lleida,UDL,Lleida,25003
Mondragón Unibertsitatea ,University of Mondragón,Mondragón Unibertsitatea ,UM,Arrasate-Mondragón,20500
Universidad de Murcia ,University of Murcia,Universidad de Murcia ,UMU,Murcia,30003
