nombre,nombre_ingles,nombre_regional,siglas,cuidad,codigo_postal,posicion_hindex,agricultura_forestal,arte_diseno_cultura,empresariales_administracion,economicas,educacion,ingenieria_tecnologia,historia_filosofia_teologia,leyes_abogacia,ciencias_salud,ciencias_naturales,ciencias_sociales,otros
Universidad Nacional de Educación a Distancia ,National University of Distance Education,Universidad Nacional de Educación a Distancia ,UNED,Madrid,28015,57,0,1,1,5,4,23,4,5,0,4,13,71
Universidad Abierta de Cataluña ,Open University of Cataluña,Universitat Oberta de Catalunya,UOC,Barcelona,8035,38,0,5,12,4,9,17,1,5,4,3,39,135
Universidad Politécnica de Madrid,,Universidad Politécnica de Madrid,UPM,Madrid,28040,33,26,7,4,1,3,58,1,0,4,19,6,251
Universidad de Barcelona ,University of Barcelona,Universitat de Barcelona,UB,Barcelona,8007,1,15,6,9,23,21,73,12,16,97,145,70,674
Universidad de Granada ,University of Granada,Universidad de Granada ,UGR,Granada,18010,18,0,3,10,8,11,19,12,15,14,27,39,249
Universidad de Málaga ,University of Málaga,Universidad de Málaga ,UMA,Málaga,29071,55,2,0,14,2,3,14,3,11,7,6,22,229
Universidad de Salamanca ,University of Salamanca,Universidad de Salamanca ,USA,Salamanca,37008,15,9,4,12,17,23,58,19,18,95,109,77,474
Universitat Abat Oliba CEU ,Abat Oliba CEU University,Universitat Abat Oliba CEU ,UAOC,Barcelona,8022,31,0,0,5,2,0,0,2,6,0,0,7,18
Universidad Alfonso X El Sabio ,Alfonso X El Sabio University,Universidad Alfonso X El Sabio ,UAX,Villanueva de la Cañada,28691,26,0,0,0,1,0,0,0,0,6,3,4,21
Instituto Superior de Enseñanzas Artísticas de la Comunitat Valenciana ,Art Institute of the Community of Valencia,Instituto Superior de Enseñanzas Artísticas de la Comunitat Valenciana ,ISEACV,Valencia,46010,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Universidad Autónoma de Barcelona ,Autonomous University of Barcelona,Universitat Autónoma de Barcelona,UAB,Cerdanyola del Vallès,8193,51,3,2,8,2,4,7,3,5,10,13,18,91
Universidad Autónoma de Madrid ,Autonomous University of Madrid,Universidad Autónoma de Madrid ,UAM,Cantoblanco,28049,6,10,0,16,29,20,97,31,11,40,185,117,236
