"URL_INFO","NOM_TITULA","NOMBRE_UNIV","NOMBRE_CENTRO","TIPO_UNIV_CENTRO","PRESENCIALIDAD","IDIOMAEXTRANJERO","PLAZAS","NOTA_CORTE","NOTA_CORTE_ANT","NOTA_ADMISION","RENDIMIENTO","CREDITOS","PRECIO","TASA_AFIL"
"http://www.ucm.es/grado","Grado en Ingeniería de Materiales","Universidad Complutense de Madrid","Facultad de Ciencias Físicas (Madrid)","Pública / Propio","Sí","No",50,9.15,8.68,9.54,60,240,19.43,NA
"http://www.uma.es/oferta-de-grado/","Grado en Educación Social","Universidad de Málaga","Facultad de Ciencias de la Educación (Málaga)","Pública / Propio","Sí","No",60,9,9.5,10.34,96,240,12.62,63.6
"http://www.uma.es/oferta-de-grado/","Grado en Química","Universidad de Málaga","Facultad de Ciencias (Málaga)","Pública / Propio","Sí","No",75,6.86,6.92,10.45,59,240,12.62,NA
"http://www.uma.es/oferta-de-grado/","Grado en Ingeniería de la Energía","Universidad de Málaga","Escuela de Ingenierías Industriales (Málaga)","Pública / Propio","Sí","No",65,5,5,9.67,56,240,12.62,NA
"http://www.upv.es/estudios/grado/index-es.html","Grado en Arquitectura Técnica","Universidad Politécnica de Valencia","Escuela Técnica Superior de Ingeniería de Edificación (Valencia)","Pública / Propio","Sí","No",200,5,8.04,NA,63,240,17.34,78.2
"http://www.urjc.es/estudios/grado","Grado en Relaciones Internacionales","Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Aranjuez (Madrid)","Pública / Propio","Sí","No",65,NA,10.89,10.9,88,240,16.92,NA
"http://www.urjc.es/estudios/grado","Grado en Relaciones Internacionales","Universidad Rey Juan Carlos","Facultad de Ciencias Jurídicas y Sociales. Campus de Fuenlabrada (Madrid)","Pública / Propio","Sí","No",65,NA,11.5,11.79,88,240,16.92,60.5
"http://estudios.uoc.edu/es/grados","Grado en Ingeniería Informática","Universidad Oberta de Catalunya","Universitat Oberta de Catalunya (Barcelona)","Privada / Propio","No","No",1600,NA,NA,NA,75,240,NA,85
"http://www.ufpcanarias.es/","Grado en Nutrición Humana y Dietética","Universidad Fernando Pessoa-Canarias (UFP-C)","Facultad de Ciencias de la Salud (FCS) (Las Palmas)","Privada / Propio","Sí","No",NA,NA,NA,NA,89,240,NA,NA
"http://www.ub.edu/dyn/cms/continguts_es/estudis/oferta_formativa/graus/graus.html","Grado en Comunicación e Industrias Culturales","Universidad de Barcelona","Facultad de Filología y Comunicación (Barcelona)","Pública / Propio","Sí","No",120,8.88,9.19,10.54,96,240,18.46,68.5
"http://www.ugr.es/pages/estudios/grado","Grado en Estudios Ingleses","Universidad de Granada","Facultad de Filosofía y Letras (Granada)","Pública / Propio","Sí","No",130,7.17,11.98,NA,77,240,12.62,54.6
"http://www.ugr.es/pages/estudios/grado","Grado en Lenguas Modernas y sus Literaturas","Universidad de Granada","Facultad de Filosofía y Letras (Granada)","Pública / Propio","Sí","No",75,7.91,5,9.99,87,240,12.62,47.8
