display_name,lat,lon
"Escola Politècnica Superior d''Enginyeria de Vilanova i la Geltrú (EPSEVG), 1, Avinguda de Víctor Balaguer, Eixample de Mar, Barri de Mar, Vilanova i la Geltrú, Garraf, Barcelona, Catalunya, 08800, España",41.22144745,1.7301449113565364
"E.T.S. Arquitectura de Madrid, Avenida Juan de Herrera, Ciudad Universitaria, Moncloa-Aravaca, Madrid, Comunidad de Madrid, 28040, España",40.44043325,-3.7310298502464407
"Escuela Politécnica Superior de Orihuela - Universidad Miguel Hernández, Carretera Orihuela - Beniel, Los Desamparados, Orihuela, el Baix Segura / La Vega Baja del Segura, Alacant / Alicante, Comunitat Valenciana, 03311, España",38.06757545,-0.9817975394465646
"Campus Ciutadella Universitat Pompeu Fabra, Carrer del Doctor Trueta, la Vila Olímpica, la Vila Olímpica del Poblenou, Sant Martí, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.3892781,2.1911055348636417
"Universidad Pontificia Comillas - ICADE, 23, Calle de Alberto Aguilera, Universidad, Chamberí, Centro, Madrid, Comunidad de Madrid, 28015, España",40.42956205,-3.7114546554076266
"Universidad Pontificia de Salamanca (Campus de Madrid), Paseo de Juan XXIII, Ciudad Universitaria, Chamberí, Moncloa-Aravaca, Madrid, Comunidad de Madrid, 28040, España",40.445111499999996,-3.720473950400315
"Universidad Pública de Navarra, Campus de Arrosadía, Arrosadia, Milagrosa-Arrosadia, Pamplona/Iruña, Iruñerria / Comarca de Pamplona, Navarra - Nafarroa, 31006, España",42.79547015,-1.628909207069672
"Universitat Ramon Llull, Carrer de Melilla, Sant Gervasi - la Bonanova, Sarrià - Sant Gervasi, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.411798250000004,2.1335406915967576
"Universidad Rey Juan Carlos (Facultad de Ciencias Jurídicas y Sociales), Camino Viejo de Vicálvaro, Casco Histórico de Vicálvaro, Vicálvaro, Madrid, Comunidad de Madrid, 28032, España",40.405525600000004,-3.6105584037669365
"Universitat Rovira i Virgili - Campus Catalunya, 33,35, Avinguda de Catalunya, Nou Eixample Nord, Tarragona, Tarragonès, Tarragona, Catalunya, 43002, España",41.12268315,1.2501586736136532
"Universidad San Jorge, Autovía Mudéjar, Villanueva de Gállego, Zaragoza, Aragón, 50830, España",41.7563238,-0.8326303052676749
"Aparcabicis Clínicas, Universidad San Pablo CEU, Calle de Julián Romea, Vallehermoso, Chamberí, Madrid, Comunidad de Madrid, 28003, España",40.4427198,-3.7172225
"Universidad a Distancia de Madrid, Calle Cantos Altos, Urbanización BuenaVista, Cantos Altos, Collado Villalba, Comunidad de Madrid, 28400, España",40.6315058,-3.9984165088347066
"Praza da Universidade, Santiago de Compostela, O Ensanche, Santiago de Compostela, Santiago, A Coruña, Galicia, España",42.8786789,-8.54245040081301
"Universidad de Alcalá de Henares, Callejón de Santa María, Venecia, Distrito I, Alcalá de Henares, Comunidad de Madrid, 28801, España",40.4823302,-3.363064202743788
"Universidad de Alicante (Campus de San Vicente), calle de Alicante, El Pilar, Sant Vicent del Raspeig / San Vicente del Raspeig, l'Alacantí, Alacant / Alicante, Comunitat Valenciana, 03690, España",38.384987249999995,-0.5148027435674277
"Universidad de Almería, AL-3200R, La Cañada de San Urbano, Almería, Andalucía, 04120, España",36.829811750000005,-2.4057069637409816
"Universitat de Barcelona, Gran Via de les Corts Catalanes, l'Antiga Esquerra de l'Eixample, Eixample, la Salut, Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",41.3868913,2.1635238457663224
"Universidad de Burgos, N-120, Fabríl Sedera, Burgos, Castilla y León, 09001, España",42.3425025,-3.7336216
"UNICAN, Avenida de los Castros, Santander, Cantabria, 39005, España",43.4715031,-3.8018456383419728
